Material Description,Material Code,Liters/Crate,Pieces/Crate,Liters/Piece,Category
IC BP Afghan Dry Fr. 5 lit. (1x6)  (C.P.DUBAI),EXPORT,30,6,5,5 LTR
IC BP Afghan Dry Fr. 5 lit. (1x6),ICBPADF16,30,6,5,5 LTR
IC BP Afghan Dry Fr. 5 lit. (1x6),ICBPADF16,30,6,5,5 LTR
IC BP  Fruit N Nut 5 lit. (1x6)(AGRIFRESH),EXPORT,30,6,5,5 LTR
IC BP  Shahi Anjir  5 lit. (1x6)  (AGRIFRESH),EXPORT,30,6,5,5 LTR
IC BP Anjir 5 lit. (1x6) ,ICBPANJ09,30,6,5,5 LTR
IC BP Anjir 5 lit. (1x6) ,ICBPANJ09,30,6,5,5 LTR
IC BP American Nut 5Lit (1x6),ICBPAMN52,30,6,5,5 LTR
IC BP American Nut 5Lit (1x6),ICBPAMN52,30,6,5,5 LTR
IC BP American Nut 5Lit (1x6)  ( C.P.DUBAI ),EXPORT,30,6,5,5 LTR
IC BP Black Currant 5 lit. (1x6),ICBPBCU08,30,6,5,5 LTR
IC BP Black Currant 5 lit. (1x6),ICBPBCU08,30,6,5,5 LTR
IC BP Black Currant 5 lit. (1x6) ( WITHOUT  NAME),EXPORT,30,6,5,5 LTR
IC BP Black Currant 5 lit. (1x6) ( C.P.DUBAI ),EXPORT,30,6,5,5 LTR
IC BP Butter Scotch 5 lit. (1x6),ICBPBSC03,30,6,5,5 LTR
IC BP Butter Scotch 5 lit. (1x6),ICBPBSC03,30,6,5,5 LTR
IC BP Butter Scotch 5 lit. (1x6)  ( QATAR ),EXPORT,30,6,5,5 LTR
IC BP Butter Scotch 5 lit. (1x6)  ( C.P.DUBAI ),EXPORT,30,6,5,5 LTR
IC BP Butter Scotch 5 lit. (1x6)  ( WITHOUT PARTY NAME ),EXPORT,30,6,5,5 LTR
IC  BP Raj Bhog 5 lit. (1*6),ICBPRJB11 ,30,6,5,5 LTR
IC  BP Raj Bhog 5 lit. (1*6)  ,ICBPRJB11 ,30,6,5,5 LTR
IC  BP Raj Bhog 5 lit. (1*6)  ( WITHOUT PACKING AND NAME ),EXPORT,30,6,5,5 LTR
IC BP Choco Chips 5 lit. (1x6),ICBPCCH06,30,6,5,5 LTR
IC BP Choco Chips 5 lit. (1x6),ICBPCCH06,30,6,5,5 LTR
IC BP Choco Chips 5 lit. (1x6) ( WITHOUT PARTY NAME ),EXPORT,30,6,5,5 LTR
IC BP cookies 'n' cream 5 lit. (1x6),ICBPCCM42,30,6,5,5 LTR
IC BP cookies 'n' cream 5 lit. (1x6),ICBPCCM42,30,6,5,5 LTR
IC BP cookies 'n' cream 5 lit. (1x6)  (QATARI),EXPORT,30,6,5,5 LTR
IC BP Chocolate Brownie 5 lit. (1x6),ICBPCHB41,30,6,5,5 LTR
IC BP Chocolate Brownie 5 lit. (1x6),ICBPCHB41,30,6,5,5 LTR
IC BP Chocolate Brownie 5 lit. (1x6) ( C.P.DUBAI),EXPORT,30,6,5,5 LTR
IC BP Chocolate 5 lit. (1x6) ( WITHOUT NAME ),EXPORT,30,6,5,5 LTR
IC BP Chocolate 5 lit. (1x6),ICBPCHO02,30,6,5,5 LTR
IC BP Chocolate 5 lit. (1x6),ICBPCHO02,30,6,5,5 LTR
IC BP Chocolate 5 lit. (1x6),ICBPCHO02,30,6,5,5 LTR
IC BP Coffee 5 lit. (1x6) ,ICBPCOF18,30,6,5,5 LTR
IC BP Coffee 5 lit. (1x6) ,ICBPCOF18,30,6,5,5 LTR
IC BP Coffee 5 lit. (1x6) (WITHOUT PACKING  & PARTY NAME),EXPORT,30,6,5,5 LTR
IC BP Fruit Bonanza 5 lit. (1x6),ICBPFBO29,30,6,5,5 LTR
IC BP Fruit Bonanza 5 lit. (1x6),ICBPFBO29,30,6,5,5 LTR
IC BP Fruit Bonanza 5 lit. (1x6),EXPORT,30,6,5,5 LTR
IC BP Green Pista 5 lit. (1x6),ICBPGPI15,30,6,5,5 LTR
IC BP Green Pista 5 lit. (1x6),ICBPGPI15,30,6,5,5 LTR
IC BP Green Pista 5 lit. (1x6) ( QATAR  ),EXPORT,30,6,5,5 LTR
IC BP Green Pista 5 lit. (1x6) (without Packing and name  ),EXPORT,30,6,5,5 LTR
IC BP Kaju Draksh 5 lit. (1x6),ICBPKDR13,30,6,5,5 LTR
IC BP Kaju Draksh 5 lit. (1x6),EXPORT,30,6,5,5 LTR
IC BP Kis Mis Kaju 5 lit. (1x6),ICBPKMK22,30,6,5,5 LTR
IC BP Kis Mis Kaju 5 lit. (1x6),ICBPKMK22,30,6,5,5 LTR
IC BP Kesar Pista 5 lit. (1x6),ICBPKPI07,30,6,5,5 LTR
IC BP Kesar Pista 5 lit. (1x6),ICBPKPI07,30,6,5,5 LTR
IC BP Kesar Pista 5 lit. (1x6),ICBPKPI07,30,6,5,5 LTR
IC BP TENDER COCONUT 5 lit. (1x6),ICBPTCN89,30,6,5,5 LTR
IC BP Mango 5 lit. (1x6)  ,ICBPMAN04,30,6,5,5 LTR
IC BP Mango 5 lit. (1x6)  ,ICBPMAN04,30,6,5,5 LTR
IC BP Mango 5 lit. (1x6),ICBPMAN04,30,6,5,5 LTR
IC BP Mango 5 lit. (1x6) ( WITHOUT PACKING AND NAME),EXPORT,30,6,5,5 LTR
IC BP Mango 5 lit. (1x6) ( MURGAN),EXPORT,30,6,5,5 LTR
IC BP Moroccan Dry Fruit 5 lit. (1x6),ICBPMDF43,30,6,5,5 LTR
IC BP Moroccan Dry Fruit 5 lit. (1x6),ICBPMDF43,30,6,5,5 LTR
IC BP Shahi Pista 5 lit. (1x6),ICBPSPK35,30,6,5,5 LTR
IC BP Shahi Pista 5 lit. (1x6),ICBPSPK35,30,6,5,5 LTR
IC BP Shahi Pista 5 lit. (1x6),EXPORT,30,6,5,5 LTR
IC BP Roasted Almond 5 lit. (1x6),ICBPRAL20,30,6,5,5 LTR
IC BP Roasted Almond 5 lit. (1x6),ICBPRAL20,30,6,5,5 LTR
IC BP Roasted Almond 5 lit. (1x6),EXPORT,30,6,5,5 LTR
IC BP Creamy Almond 5 lit. (1x6),ICBPCAL05,30,6,5,5 LTR
IC BP Creamy Almond 5 lit. (1x6),ICBPCAL06,30,6,5,5 LTR
IC BP Creamy Almond 5 lit. (1x6),EXPORT,30,6,5,5 LTR
IC BP SSCB 5 lit. (1x6),ICBPSSC17,30,6,5,5 LTR
IC BP SSCB 5 lit. (1x6) ,EXPORT,30,6,5,5 LTR
IC BP SSCB 5 lit. (1x6) ( QATAR ),EXPORT,30,6,5,5 LTR
IC BP Strawberry 5 lit. (1x6),ICBPSTR05,30,6,5,5 LTR
IC BP Strawberry 5 lit. (1x6),ICBPSTR05,30,6,5,5 LTR
 IC BP Fresh pineapple 5 lit. (1x6), ICBPFPT84 ,30,6,5,5 LTR
 IC BP Shalimar 5 lit. (1x6),ICBPSHM105,30,6,5,5 LTR
 IC BP Shalimar 5 lit. (1x6),ICBPSHM105,30,6,5,5 LTR
 IC BP Fresh pineapple 5 lit. (1x6),EXPORT,30,6,5,5 LTR
IC BP Pineapple 5 lit. (1x6) (QATAR),EXPORT,30,6,5,5 LTR
IC BP Pineapple 5 lit. (1x6),EXPORT,30,6,5,5 LTR
IC BP Pineapple 5 lit. (1x6) (EXPORT),EXPORT,30,6,5,5 LTR
IC BP Tutti Fruity 5 lit. (1x6),ICBPTFR10,30,6,5,5 LTR
IC BP Tutti Fruity 5 lit. (1x6),ICBPTFR10,30,6,5,5 LTR
IC BP Tutti Fruity 5 lit. (1x6),EXPORT,30,6,5,5 LTR
IC BP Vanilla 5 lit. (1x6),ICBPVAN01,30,6,5,5 LTR
IC BP Vanilla 5 lit. (1x6),ICBPVAN01,30,6,5,5 LTR
